time,prefix,unexpected_origin_asn,affected_prefix,expected_origin_asn
2024-01-01 12:00,154.218.5.251/32,133448,154.218.5.0/24,138995
2024-01-01 12:00,185.33.47.0/24,200697,185.33.47.0/24,199826
2024-01-01 12:00,201.217.222.0/24,7087,201.217.192.0/19,18747
2024-01-01 12:00,112.199.94.0/24,24081,112.199.64.0/19,9658
2024-01-01 12:00,190.26.204.0/24,32034,190.26.200.0/21,19429
2024-01-01 12:00,200.29.26.0/24,6429,200.29.0.0/19,10778
2024-01-01 12:00,200.29.89.0/24,6429,200.29.64.0/19,10778
2024-01-01 12:00,200.93.151.0/24,22368,200.93.144.0/21,19429
2024-01-01 12:00,203.127.225.0/24,17894,203.127.0.0/16,3758
2024-01-01 12:00,94.129.5.0/24,19905,94.129.0.0/17,47589
2024-01-01 12:00,103.242.13.0/24,133073,103.242.12.0/22,142032
2024-01-01 12:00,180.178.65.0/24,7474,180.178.64.0/22,55923
2024-01-01 12:00,212.24.246.0/23,57900,212.24.224.0/19,29255
2024-01-01 12:00,45.203.192.0/18,6079,45.203.128.0/17,984
2024-01-02 12:00,108.165.227.0/24,212238,108.165.227.0/24,834
2024-01-02 12:00,128.201.191.0/24,264562,128.201.188.0/22,265896
2024-01-02 12:00,179.61.138.0/24,211826,179.61.138.0/24,211301
2024-01-03 12:00,185.226.154.0/24,205663,185.226.154.0/24,834
2024-01-03 12:00,45.202.248.0/22,40065,45.202.192.0/18,984
2024-01-03 12:00,45.165.70.0/24,262324,45.165.68.0/22,268679
2024-05-01 12:00,170.233.21.0/24,61857,170.233.20.0/22,268289
2024-05-01 12:00,216.215.8.0/24,25764,216.215.0.0/18,19800
2024-05-01 12:00,178.236.228.0/24,23674,178.236.228.0/22,35916
2024-05-01 12:00,87.107.135.0/24,16322,87.107.132.0/22,21341
2024-05-01 12:00,200.36.110.0/24,28545,200.36.96.0/20,6503
2024-05-01 12:00,200.36.112.0/24,28509,200.36.112.0/22,6503
2024-05-01 12:00,217.164.91.154/32,59796,217.164.0.0/15,5384
2024-05-03 12:00,200.108.71.0/24,262182,200.108.71.0/24,26593
2024-05-03 12:00,203.25.240.0/24,17378,203.25.240.0/24,396982
2024-05-07 12:00,148.243.71.0/24,22908,148.243.64.0/20,6503
2024-07-01 12:00,103.243.140.0/24,24342,103.243.140.0/22,59209
2024-07-01 12:00,177.84.20.0/22,266603,177.84.20.0/22,52715
2024-07-01 12:00,177.84.20.0/23,266603,177.84.20.0/23,52715
2024-07-01 12:00,177.84.20.0/24,266603,177.84.20.0/24,52715
2024-07-01 12:00,177.84.21.0/24,266603,177.84.21.0/24,52715
2024-07-01 12:00,177.84.22.0/23,266603,177.84.22.0/23,52715
2024-07-01 12:00,177.84.22.0/24,266603,177.84.22.0/24,52715
2024-07-01 12:00,177.84.23.0/24,266603,177.84.23.0/24,52715
2024-07-01 12:00,207.59.33.0/24,53748,207.59.0.0/16,7029
2024-07-01 12:00,91.245.184.0/22,22773,91.245.184.0/22,5650
2024-07-01 12:00,103.69.3.0/24,21859,103.69.2.0/23,138590
2024-07-01 12:00,188.253.122.0/24,3813,188.253.122.0/23,38136
2024-07-05 12:00,115.117.224.0/24,17762,115.117.0.0/16,10199
2024-07-06 12:00,45.178.248.0/22,26905,45.178.248.0/22,269051
